79407;Abkhazia - Mobile - A-mobile
79409;Abkhazia - Mobile - Aquafon
7940;Abkhazia Mobile
9371;Afghanistan Mobile Awcc
9370;Afghanistan Mobile Awcc
9375;Afghanistan Mobile Cdma
9378;Afghanistan Mobile Etisalat
9373;Afghanistan Mobile Etisalat
9376;Afghanistan Mobile Mtn
9377;Afghanistan Mobile Mtn
9372;Afghanistan Mobile Roshan
9379;Afghanistan Mobile Roshan
9374;Afghanistan Mobile Salam
93;Afghanistan Proper
1907;Alaska Proper
3554249;Albania Fixed Olo
3554252;Albania Fixed Olo
35568;Albania Mobile Amc
35567;Albania Mobile Eagle
35566;Albania Mobile Plus
35569;Albania Mobile Vodafone
355;Albania Proper
355422;Albania Tirane
35543;Albania Tirane
355424;Albania Tirane
355423;Albania Tirane
21320;Algeria Algiers
21321;Algeria Algiers
21322;Algeria Algiers
2131;Algeria Cat
2139;Algeria Cat
21367;Algeria Mobile Mobilis
213670;ALGERIA MOBILE MOBILIS
21365;Algeria Mobile Mobilis
21369;Algeria Mobile Mobilis
21366;Algeria Mobile Mobilis
213659;ALGERIA MOBILE MOBILIS
21378;Algeria Mobile Orascom
21377;Algeria Mobile Orascom
21379;Algeria Mobile Orascom
2137;Algeria Mobile Other Carriers
2136;Algeria Mobile Other Carriers
21356;Algeria Mobile Wataniya
2135;Algeria Mobile Wataniya
21355;Algeria Mobile Wataniya
213;Algeria Proper
2449;Angola Mobile
24499;Angola Mobile Movicel
24491;Angola Mobile Movicel
24493;Angola Mobile Unitel
24494;Angola Mobile Unitel
24492;Angola Mobile Unitel
244;Angola Proper
1264543;Anguilla Mobile
1264469;Anguilla Mobile
1264581;Anguilla Mobile At&t
1264584;Anguilla Mobile At&t
1264582;Anguilla Mobile At&t
1264583;Anguilla Mobile At&t
1264772;Anguilla Mobile Cable & Wireless
1264476;Anguilla Mobile Cable & Wireless
1264235;Anguilla Mobile Cable & Wireless
1264729;Anguilla Mobile Cable & Wireless
1264536;Anguilla Mobile Weblinks
1264539;Anguilla Mobile Weblinks
1264538;Anguilla Mobile Weblinks
1264537;Anguilla Mobile Weblinks
1264;Anguilla Proper
126877;Antigua & Barbuda mobile
126878;Antigua & Barbuda mobile
1268717;Antigua & Barbuda mobile-Digicel
1268722;Antigua & Barbuda mobile-Digicel
1268734;Antigua & Barbuda mobile-Digicel
1268720;Antigua & Barbuda mobile-Digicel
1268718;Antigua & Barbuda mobile-Digicel
1268719;Antigua & Barbuda mobile-Digicel
1268716;Antigua & Barbuda mobile-Digicel
1268721;Antigua & Barbuda mobile-Digicel
1268736;Antigua & Barbuda mobile-Digicel
1268732;Antigua & Barbuda mobile-Digicel
1268726;Antigua & Barbuda mobile-Digicel
1268725;Antigua & Barbuda mobile-Digicel
1268783;Antigua And Barbuda Mobile
1268464;Antigua And Barbuda Mobile
126872;Antigua And Barbuda Mobile
1268764;Antigua And Barbuda Mobile
1268785;Antigua And Barbuda Mobile
1268788;Antigua And Barbuda Mobile
1268724;Antigua And Barbuda Mobile
1268;Antigua And Barbuda Proper
542293;Argentina - Fixed - Miramar
5426524;Argentina - San Luis (prov. San Luis) geographic
543543;Argentina Arguello
54291;Argentina Bahia Blanca
5411;Argentina Buenos Aires
543489;Argentina Campana
54351;Argentina Cardoba
54353;Argentina Cardoba
54354;Argentina Cardoba
54358;Argentina Cardoba
543464;Argentina Casilda
54236;Argentina Central
54379;Argentina Central
54249;Argentina Central
543784;Argentina Central
54264;Argentina Central
54336;Argentina Central
54362;Argentina Central
542302;Argentina Cities
542362;Argentina Cities
543783;Argentina Corrientes
54230;Argentina La Pampa
54221;Argentina La Plata
54223;Argentina Mar Del Plata
54261;Argentina Mendoza
549;Argentina Mobile
54911;Argentina Mobile Amba
549351;Argentina Mobile Cardoba
549221;Argentina Mobile La Plata
549223;Argentina Mobile Mar Del Plata
549261;Argentina Mobile Mendoza
549341;Argentina Mobile Rosario
54299;Argentina Neuquen
54343;Argentina Parana
54232;Argentina Pilar
54;Argentina Proper
54372;Argentina Resistencia
543571;Argentina Rio Tercero
54341;Argentina Rosario
54387;Argentina Salta
543476;Argentina San Lorenzo
542652;Argentina San Luis
542652550;Argentina San Luis (prov. San Luis)
542652497;Argentina San Luis (prov. San Luis)
542652491;Argentina San Luis (prov. San Luis)
54265246;Argentina San Luis (prov. San Luis)
542652474;Argentina San Luis (prov. San Luis)
542652492;Argentina San Luis (prov. San Luis)
542652479;Argentina San Luis (prov. San Luis)
54265260;Argentina San Luis (prov. San Luis)
543461;Argentina San Nicolas
54332;Argentina San Pedro
54342;Argentina Santa Fe
54381;Argentina Tucuman
543462;Argentina Venado Tuerto
543541;Argentina Villa Carlos Paz
54348;Argentina Zarate
542322;Argentina-Cities
543724;Argentina-Cities
543430;Argentina-Cities
543320;Argentina-Cities
542329;Argentina-Cities
543870;Argentina-Cities
543439;Argentina-Cities
543325;Argentina-Cities
542644;Argentina-Cities
543879;Argentina-Cities
542323;Argentina-Cities
543726;Argentina-Cities
543431;Argentina-Cities
543321;Argentina-Cities
542640;Argentina-Cities
543871;Argentina-Cities
543720;Argentina-Cities
543326;Argentina-Cities
542645;Argentina-Cities
542324;Argentina-Cities
543727;Argentina-Cities
543432;Argentina-Cities
543322;Argentina-Cities
542641;Argentina-Cities
543872;Argentina-Cities
543722;Argentina-Cities
543328;Argentina-Cities
542649;Argentina-Cities
542327;Argentina-Cities
543728;Argentina-Cities
543433;Argentina-Cities
543323;Argentina-Cities
542642;Argentina-Cities
543873;Argentina-Cities
542321;Argentina-Cities
543723;Argentina-Cities
543329;Argentina-Cities
542954;Argentina-Cities
542328;Argentina-Cities
543729;Argentina-Cities
543434;Argentina-Cities
543324;Argentina-Cities
542643;Argentina-Cities
543874;Argentina-Cities
54237;Argentina-Moreno
37411;Armenia - Fixed - Ucom
37491;Armenia Mobile Beeline
37443;Armenia Mobile Beeline
37499;Armenia Mobile Beeline
37496;Armenia Mobile Beeline
37441;Armenia Mobile Ucom
37455;Armenia Mobile Ucom
37495;Armenia Mobile Ucom
37449;Armenia Mobile Vivacell
37498;Armenia Mobile Vivacell
37494;Armenia Mobile Vivacell
37493;Armenia Mobile Vivacell
37477;Armenia Mobile Vivacell
37447;Armenia Nagorny Karabakh Landline
3744;Armenia Nagornyi Karabakh
37460;Armenia Nonegeographic
374;Armenia Proper
37410;Armenia Yerevan
61874;Australia Adelaide
61870;Australia Adelaide
61884;Australia Adelaide
61871;Australia Adelaide
61883;Australia Adelaide
61872;Australia Adelaide
61882;Australia Adelaide
61873;Australia Adelaide
61881;Australia Adelaide
6173;Australia Brisbane
6172;Australia Brisbane
61262;Australia Canberra
61261;Australia Canberra
61860;Australia Fixed City Group
6138;Australia Melbourne
6139;Australia Melbourne
614687;Australia Mobile Optus
61435;Australia Mobile Optus
61411;Australia Mobile Optus
614683;Australia Mobile Optus
61423;Australia Mobile Optus
614688;Australia Mobile Optus
61466;Australia Mobile Optus
61412;Australia Mobile Optus
614684;Australia Mobile Optus
61431;Australia Mobile Optus
61401;Australia Mobile Optus
614689;Australia Mobile Optus
61478;Australia Mobile Optus
61413;Australia Mobile Optus
614685;Australia Mobile Optus
61432;Australia Mobile Optus
61402;Australia Mobile Optus
614790;Australia Mobile Optus
61481;Australia Mobile Optus
61421;Australia Mobile Optus
614686;Australia Mobile Optus
61434;Australia Mobile Optus
61403;Australia Mobile Optus
614791;Australia Mobile Optus
61482;Australia Mobile Optus
61422;Australia Mobile Optus
614;Australia Mobile Other Carriers
61863;Australia Perth
61852;Australia Perth
61893;Australia Perth
61861;Australia Perth
61892;Australia Perth
61854;Australia Perth
61865;Australia Perth
61862;Australia Perth
61894;Australia Perth
61864;Australia Perth
61853;Australia Perth
61;Australia Proper
611;Australia Satellite
6113;Australia Special
6128;Australia Sydney
6129;Australia Sydney
43505;Austria - Corporate Numbering
4359;Austria - Corporate Numbering
43509;Austria - Corporate Numbering
43504;Austria - Corporate Numbering
4357;Austria - Corporate Numbering
43508;Austria - Corporate Numbering
43502;Austria - Corporate Numbering
43507;Austria - Corporate Numbering
43503;Austria - Corporate Numbering
43506;Austria - Corporate Numbering
43501;Austria - Corporate Numbering
43517;Austria - Corporate Numbering
43651;Austria Mobile
43666;Austria Mobile
43663;Austria Mobile
43659;Austria Mobile
4367;Austria Mobile
43668;Austria Mobile
43669;Austria Mobile
43657;Austria Mobile
43652;Austria Mobile
43667;Austria Mobile
43655;Austria Mobile
4369;Austria Mobile
43665;Austria Mobile
436;Austria Mobile
43653;Austria Mobile
4368;Austria Mobile
43661;Austria Mobile
436814;Austria Mobile A1
4368180;Austria Mobile A1
4369982;Austria Mobile A1
4368187;Austria Mobile A1
436994;Austria Mobile A1
4368185;Austria Mobile A1
436819;Austria Mobile A1
436813;Austria Mobile A1
436999;Austria Mobile A1
4369987;Austria Mobile A1
4369981;Austria Mobile A1
4368189;Austria Mobile A1
436993;Austria Mobile A1
4368184;Austria Mobile A1
436817;Austria Mobile A1
436811;Austria Mobile A1
436997;Austria Mobile A1
4369980;Austria Mobile A1
4369985;Austria Mobile A1
43699;Austria Mobile A1
436991;Austria Mobile A1
4368182;Austria Mobile A1
436815;Austria Mobile A1
436810;Austria Mobile A1
436996;Austria Mobile A1
4368188;Austria Mobile A1
4369984;Austria Mobile A1
436812;Austria Mobile A1
436816;Austria Mobile A1
4368181;Austria Mobile A1
4369986;Austria Mobile A1
436992;Austria Mobile A1
43681;Austria Mobile A1
436995;Austria Mobile A1
4368186;Austria Mobile A1
4369983;Austria Mobile A1
436990;Austria Mobile A1
4368183;Austria Mobile H3G
4367890;Austria Mobile Hutchison 3g
43678;Austria Mobile Hutchison 3g
43660;Austria Mobile Hutchison 3g
4367891;Austria Mobile Hutchison 3g
4367833;Austria Mobile Hutchison 3g
4369989;Austria Mobile Mobilkom
436884;Austria Mobile Mobilkom
4368878;Austria Mobile Mobilkom
4368873;Austria Mobile Mobilkom
4368869;Austria Mobile Mobilkom
43688;Austria Mobile Mobilkom
4368865;Austria Mobile Mobilkom
4369988;Austria Mobile Mobilkom
436883;Austria Mobile Mobilkom
4368874;Austria Mobile Mobilkom
4368868;Austria Mobile Mobilkom
43680;Austria Mobile Mobilkom
4368863;Austria Mobile Mobilkom
4368879;Austria Mobile Mobilkom
436881;Austria Mobile Mobilkom
436882;Austria Mobile Mobilkom
4368872;Austria Mobile Mobilkom
436888;Austria Mobile Mobilkom
43664;Austria Mobile Mobilkom
4368862;Austria Mobile Mobilkom
4368876;Austria Mobile Mobilkom
4368871;Austria Mobile Mobilkom
4368867;Austria Mobile Mobilkom
436880;Austria Mobile Mobilkom
43644;Austria Mobile Mobilkom
436885;Austria Mobile Mobilkom
4368875;Austria Mobile Mobilkom
4368870;Austria Mobile Mobilkom
4368866;Austria Mobile Mobilkom
4366305;Austria mobile Smartspace
4366363;Austria mobile Smartspace
4366365;Austria mobile Smartspace
4366306;Austria mobile Smartspace
4366303;Austria mobile Smartspace
4366566;Austria mobile Three (hutchison)
4366565;Austria mobile Three (hutchison)
43677;Austria Mobile Tmobile
43650;Austria Mobile Tmobile
436778;Austria Mobile Tmobile
43676;Austria Mobile Tmobile
436772;Austria Mobile Tmobile
43730;Austria Premium Numbers
43711;Austria Premium Numbers
43740;Austria Premium Numbers
43810;Austria Premium Numbers
43820;Austria Premium Numbers
43;Austria Proper
43821;Austria Vas
4392;Austria Vas
43780;Austria Vas
4390;Austria Vas
43732;Austria Vas
43710;Austria Vas
4391;Austria Vas
43828;Austria Vas
43720;Austria Vas
4393;Austria Vas
431;Austria Vienna
99412;Azerbaijan Baku
99451;Azerbaijan Mobile Azercell
99450;Azerbaijan Mobile Azercell
99477;Azerbaijan Mobile Azerfone
99470;Azerbaijan Mobile Azerfone
99455;Azerbaijan Mobile Bakcell
99440;Azerbaijan Mobile Catel
99460;Azerbaijan Mobile Other Carriers
99444;Azerbaijan Mobile Other Carriers
994;Azerbaijan Proper
1242441;Bahamas Mobile
1242551;Bahamas Mobile
1242451;Bahamas Mobile
1242439;Bahamas Mobile
1242421;Bahamas Mobile
1242463;Bahamas Mobile
1242428;Bahamas Mobile
1242481;Bahamas Mobile
